,Latitude,Longitude,Rainfall (mm),Temperature (°C),Humidity (%),River Discharge (m³/s),Water Level (m),Elevation (m),Population Density,Infrastructure,Historical Floods,Flood Occurred
Latitude,1.0,-0.00512546871920065,-0.00934583257838767,0.006308974185957119,-0.007357872513712425,-0.016800937413986118,0.0057223101427925005,0.007848031446892867,-0.003690859421233795,-0.011262161225058222,0.0021207730809354227,-0.0029078547067992087
Longitude,-0.00512546871920065,1.0,-0.024219423756029403,-0.021281161715982953,-0.011014163689247115,0.005390007988871566,-0.009768471195844475,0.0004456409449951936,0.012554436910559331,0.03226064682373225,0.004599288077058494,-0.015008176248023027
Rainfall (mm),-0.00934583257838767,-0.024219423756029403,1.0,-0.004196294278029074,-0.007431202706598614,0.0020653087211183643,-0.00939686539297463,0.0005821490951502109,0.014651416921125605,-0.0008011360190916382,-0.0016906367146088438,-0.0021704977897898806
Temperature (°C),0.006308974185957119,-0.021281161715982953,-0.004196294278029074,1.0,0.01147619406354054,0.00749780732359307,-0.007164758405447205,0.006983417281142631,-0.004985866189141144,-0.018972668582272163,-0.008624570449441038,-0.01577110235506909
Humidity (%),-0.007357872513712425,-0.011014163689247115,-0.007431202706598614,0.01147619406354054,1.0,-0.0042976010909342305,0.0052461636102454036,-0.014494676098753035,-0.018608779597143625,-0.012264655916189308,0.007099515631484244,0.02775362876597782
River Discharge (m³/s),-0.016800937413986118,0.005390007988871566,0.0020653087211183643,0.00749780732359307,-0.0042976010909342305,1.0,-0.008686247998540139,0.004814294011524436,-0.0007782677566738624,0.006484791916616056,-0.004734232332108974,-0.0021150069762481617
Water Level (m),0.0057223101427925005,-0.009768471195844475,-0.00939686539297463,-0.007164758405447205,0.0052461636102454036,-0.008686247998540139,1.0,-0.02264543439969054,0.009125423719353517,-0.006596242863780225,-0.02751944578673003,-0.005211376408092675
Elevation (m),0.007848031446892867,0.0004456409449951936,0.0005821490951502109,0.006983417281142631,-0.014494676098753035,0.004814294011524436,-0.02264543439969054,1.0,-0.011154760251261444,0.00225563472917701,0.0007061172259977449,-0.004330942874873738
Population Density,-0.003690859421233795,0.012554436910559331,0.014651416921125605,-0.004985866189141144,-0.018608779597143625,-0.0007782677566738624,0.009125423719353517,-0.011154760251261444,1.0,0.0027868035707655447,-0.015036164732954188,-0.005007256435068167
Infrastructure,-0.011262161225058222,0.03226064682373225,-0.0008011360190916382,-0.018972668582272163,-0.012264655916189308,0.006484791916616056,-0.006596242863780225,0.00225563472917701,0.0027868035707655447,1.0,-0.0033896385741230264,-0.003845880678615622
Historical Floods,0.0021207730809354227,0.004599288077058494,-0.0016906367146088438,-0.008624570449441038,0.007099515631484244,-0.004734232332108974,-0.02751944578673003,0.0007061172259977449,-0.015036164732954188,-0.0033896385741230264,1.0,0.01203046242523815
Flood Occurred,-0.0029078547067992087,-0.015008176248023027,-0.0021704977897898806,-0.01577110235506909,0.02775362876597782,-0.0021150069762481617,-0.005211376408092675,-0.004330942874873738,-0.005007256435068167,-0.003845880678615622,0.01203046242523815,1.0
