,count,mean,std,min,25%,50%,75%,max
Latitude,10000.0,22.33062717284469,8.341273669282792,8.000337407905619,15.143537199768073,22.28332990365457,29.460184100299383,36.99181252529779
Longitude,10000.0,82.6313664237355,8.389541969530468,68.00457459276365,75.36442824275858,82.67100651880244,89.93789742075336,96.99781997816213
Rainfall (mm),10000.0,150.0151183736939,86.0321271919396,0.014437168293524,76.12437334103473,150.62042839820867,223.40215619389727,299.9702931027695
Temperature (°C),10000.0,29.961401490804757,8.669837722627625,15.00016610027214,22.40571746578774,30.00090718098351,37.41348761772605,44.99368115437786
Humidity (%),10000.0,59.74910444350339,23.142734303310075,20.001338900634774,39.54177775819502,59.49737538026229,80.0381627084809,99.9977717894386
River Discharge (m³/s),10000.0,2515.7229457858452,1441.7064424477157,0.0421610565215502,1284.7823761105099,2530.451944006559,3767.2298615986365,4999.698480228592
Water Level (m),10000.0,5.01788115473317,2.8765792101751937,0.0027012235672785,2.5388474051692276,5.042094455753061,7.524691886793093,9.996898773860396
Elevation (m),10000.0,4417.138176822381,2530.245420878468,1.1503397240072708,2229.681902960999,4417.199760616065,6616.729065699323,8846.894877202165
Population Density,10000.0,5021.468442385648,2882.5915203878844,2.2890002655517883,2491.766601040791,5074.3928794938565,7474.22875152655,9999.169529703417
Infrastructure,10000.0,0.502,0.5000210016591402,0.0,0.0,1.0,1.0,1.0
Historical Floods,10000.0,0.4987,0.5000233117877937,0.0,0.0,0.0,1.0,1.0
