feature,importance
numeric__Water Level (m),0.09998252089307094
numeric__Humidity (%),0.09848582963385973
numeric__River Discharge (m³/s),0.09759918798819882
numeric__Rainfall (mm),0.09637990940399896
numeric__Longitude,0.09626669723873983
numeric__Temperature (°C),0.09612860369173377
numeric__Population Density,0.0957738282696199
numeric__Elevation (m),0.09561016203166349
numeric__Latitude,0.09554713604364853
numeric__Infrastructure,0.014892115144738836
numeric__Historical Floods,0.013668376129871432
categorical__Soil Type_Clay,0.010518965597956446
categorical__Soil Type_Peat,0.01033514614559128
categorical__Soil Type_Silt,0.010230884209911903
categorical__Land Cover_Desert,0.010193264636944465
categorical__Land Cover_Forest,0.010161821555091233
categorical__Land Cover_Urban,0.01010572224548571
categorical__Soil Type_Sandy,0.009775171200307804
categorical__Soil Type_Loam,0.009731959568676339
categorical__Land Cover_Water Body,0.009415175225867125
categorical__Land Cover_Agricultural,0.009197523145023524
